iter	Passed	Remaining
504	1551	1520
505	1553	1516
506	1555	1512
507	1595	1544
508	1599	1542
509	1611	1547
510	1614	1544
511	1619	1543
512	1623	1541
513	1630	1541
514	1634	1539
515	1637	1535
516	1639	1531
517	1641	1527
518	1643	1523
519	1646	1519
520	1648	1515
521	1650	1511
522	1652	1506
523	1654	1503
524	1657	1499
525	1659	1495
526	1661	1491
527	1664	1487
528	1666	1483
529	1668	1479
530	1671	1476
531	1673	1472
532	1675	1468
533	1678	1464
534	1681	1461
535	1683	1457
536	1688	1455
537	1689	1450
538	1691	1446
539	1694	1443
540	1698	1441
541	1701	1438
542	1705	1434
543	1707	1431
544	1712	1429
545	1715	1426
546	1716	1421
547	1718	1417
548	1719	1412
549	1720	1407
550	1722	1403
551	1724	1399
552	1728	1397
553	1732	1394
554	1734	1390
555	1736	1386
556	1738	1383
557	1741	1379
558	1743	1375
559	1745	1371
560	1746	1366
561	1748	1363
562	1751	1359
563	1753	1355
564	1755	1351
565	1758	1348
566	1761	1345
567	1763	1341
568	1766	1337
569	1768	1334
570	1770	1330
571	1773	1327
572	1775	1323
573	1778	1319
574	1779	1315
575	1781	1311
576	1783	1307
577	1786	1304
578	1788	1300
579	1790	1296
580	1793	1293
581	1795	1289
582	1798	1286
583	1800	1282
584	1802	1278
585	1805	1275
586	1807	1271
587	1810	1268
588	1812	1265
589	1815	1261
590	1818	1258
591	1821	1255
592	1827	1254
593	1830	1251
594	1834	1248
595	1837	1245
596	1840	1242
597	1842	1238
598	1844	1235
599	1846	1231
600	1849	1227
601	1850	1223
602	1851	1219
603	1853	1215
604	1856	1211
605	1858	1208
606	1860	1204
607	1862	1200
608	1864	1197
609	1867	1193
610	1869	1190
611	1871	1186
612	1873	1183
613	1876	1179
614	1879	1176
615	1883	1174
616	1885	1170
617	1888	1167
618	1892	1164
619	1894	1161
620	1897	1157
621	1899	1154
622	1902	1151
623	1905	1148
624	1915	1149
625	1918	1146
626	1922	1143
627	1926	1141
628	1932	1139
629	1937	1137
630	1941	1135
631	1944	1132
632	1948	1129
633	1951	1126
634	1956	1124
635	1960	1121
636	1963	1119
637	1966	1115
638	1969	1112
639	1973	1110
640	1979	1108
641	1982	1105
642	1985	1102
643	1988	1099
644	1992	1096
645	1995	1093
646	1999	1090
647	2002	1087
648	2006	1085
649	2009	1082
650	2012	1079
651	2015	1075
652	2018	1072
653	2022	1069
654	2023	1065
655	2026	1062
656	2031	1060
657	2034	1057
658	2037	1054
659	2040	1051
660	2043	1048
661	2046	1044
662	2049	1041
663	2052	1038
664	2058	1037
665	2061	1033
666	2065	1030
667	2071	1029
668	2074	1026
669	2080	1024
670	2083	1021
671	2089	1019
672	2092	1016
673	2095	1013
674	2099	1010
675	2104	1008
676	2108	1006
677	2115	1004
678	2116	1000
679	2123	999
680	2126	996
681	2128	992
682	2131	989
683	2133	985
684	2136	982
685	2138	979
686	2140	975
687	2142	971
688	2143	967
689	2145	963
690	2148	960
691	2149	956
692	2150	952
693	2152	949
694	2154	945
695	2156	941
696	2158	938
697	2160	934
698	2161	930
699	2163	927
700	2166	923
701	2167	919
702	2169	916
703	2170	912
704	2172	909
705	2175	905
706	2178	902
707	2181	899
708	2182	895
709	2184	892
710	2187	888
711	2189	885
712	2191	882
713	2194	878
714	2196	875
715	2198	872
716	2200	868
717	2203	865
718	2205	862
719	2208	858
720	2210	855
721	2211	851
722	2213	848
723	2215	844
724	2218	841
725	2220	838
726	2222	834
727	2224	830
728	2226	827
729	2228	824
730	2231	821
731	2233	817
732	2236	814
733	2238	811
734	2241	808
735	2243	804
736	2246	801
737	2248	798
738	2250	794
739	2252	791
740	2255	788
741	2258	785
742	2260	782
743	2263	778
744	2268	776
745	2271	773
746	2274	770
747	2276	766
748	2279	763
749	2281	760
750	2285	757
751	2288	754
752	2292	752
753	2293	748
754	2296	745
755	2298	741
756	2301	738
757	2302	735
758	2306	732
759	2309	729
760	2311	726
761	2314	722
762	2316	719
763	2319	716
764	2324	714
765	2327	711
766	2329	707
767	2332	704
768	2334	701
769	2337	698
770	2339	694
771	2342	691
772	2344	688
773	2347	685
774	2350	682
775	2351	678
776	2352	675
777	2354	671
778	2357	668
779	2358	665
780	2361	662
781	2362	658
782	2364	655
783	2366	652
784	2368	648
785	2370	645
786	2373	642
787	2375	639
788	2377	635
789	2380	632
790	2383	629
791	2386	626
792	2388	623
793	2390	620
794	2393	617
795	2395	613
796	2398	610
797	2400	607
798	2401	604
799	2403	600
800	2406	597
801	2408	594
802	2411	591
803	2413	588
804	2415	585
805	2418	582
806	2420	578
807	2422	575
808	2424	572
809	2427	569
810	2430	566
811	2431	562
812	2432	559
813	2435	556
814	2437	553
815	2440	550
816	2442	547
817	2443	543
818	2446	540
819	2448	537
820	2451	534
821	2454	531
822	2457	528
823	2461	525
824	2464	522
825	2468	519
826	2470	516
827	2474	513
828	2479	511
829	2482	508
830	2484	505
831	2487	502
832	2488	498
833	2490	495
834	2495	493
835	2497	490
836	2500	486
837	2503	483
838	2505	480
839	2509	477
840	2511	474
841	2513	471
842	2514	468
843	2517	465
844	2520	462
845	2522	459
846	2525	456
847	2527	453
848	2530	450
849	2576	454
850	2582	452
851	2586	449
852	2590	446
853	2593	443
854	2597	440
855	2600	437
856	2603	434
857	2614	432
858	2618	429
859	2620	426
860	2623	423
861	2627	420
862	2630	417
863	2634	414
864	2636	411
865	2640	408
866	2645	405
867	2654	403
868	2658	400
869	2661	397
870	2664	394
871	2667	391
872	2671	388
873	2674	385
874	2676	382
875	2678	379
876	2681	376
877	2689	373
878	2692	370
879	2695	367
880	2698	364
881	2701	361
882	2703	358
883	2706	355
884	2708	352
885	2711	348
886	2714	345
887	2716	342
888	2718	339
889	2721	336
890	2724	333
891	2726	330
892	2728	326
893	2731	323
894	2733	320
895	2735	317
896	2738	314
897	2740	311
898	2743	308
899	2745	305
900	2748	302
901	2751	298
902	2753	295
903	2756	292
904	2758	289
905	2761	286
906	2763	283
907	2766	280
908	2767	277
909	2769	273
910	2772	270
911	2775	267
912	2778	264
913	2779	261
914	2782	258
915	2785	255
916	2787	252
917	2789	249
918	2792	246
919	2794	243
920	2797	239
921	2798	236
922	2801	233
923	2803	230
924	2808	227
925	2810	224
926	2813	221
927	2816	218
928	2818	215
929	2820	212
930	2824	209
931	2828	206
932	2831	203
933	2835	200
934	2839	197
935	2856	195
936	2869	192
937	2875	190
938	2880	187
939	2883	184
940	2887	181
941	2891	178
942	2895	175
943	2900	172
944	2903	168
945	2906	165
946	2909	162
947	2911	159
948	2914	156
949	2917	153
950	2920	150
951	2922	147
952	2925	144
953	2927	141
954	2930	138
955	2932	134
956	2936	131
957	2942	129
958	2951	126
959	2956	123
960	2958	120
961	2961	116
962	2963	113
963	2969	110
964	2972	107
965	2976	104
966	2982	101
967	2990	98
968	2993	95
969	3005	92
970	3014	90
971	3021	87
972	3031	84
973	3037	81
974	3051	78
975	3064	75
976	3066	72
977	3069	69
978	3077	66
979	3082	62
980	3086	59
981	3095	56
982	3099	53
983	3103	50
984	3110	47
985	3114	44
986	3120	41
987	3127	37
988	3130	34
989	3133	31
990	3144	28
991	3147	25
992	3151	22
993	3158	19
994	3162	15
995	3165	12
996	3172	9
997	3177	6
998	3180	3
999	3187	0
